truth,truth-time-postgres
79851.0,8.952
40325.0,6.478
134887.0,24.44
79633.0,12.268
134887.0,24.012
42921.0,28.558
174305.0,17.431
42308.0,31.605
134887.0,23.264
328064.0,33.573
79598.0,11.907
42172.0,13.179
174305.0,17.35
90764.0,16.976
11102.0,1.169
134887.0,23.054
89551.0,14.532
9480.0,1.76
174305.0,17.32
91948.0,15.947
303187.0,30.45
172156.0,28.057
11847.0,11.116
40325.0,4.092
134887.0,23.1
39244.0,13.77
38281.0,7.299
174305.0,17.444
303187.0,30.494
38103.0,7.492
172916.0,26.32
328064.0,32.663
39890.0,6.172
169020.0,27.652
1652.0,26.872
31448.0,6.169
134659.0,26.32
79610.0,12.724
40325.0,6.233
134887.0,23.297
79693.0,11.908
38246.0,7.707
91770.0,15.142
1032.0,0.122
328064.0,32.841
91871.0,14.989
11102.0,1.146
302773.0,46.717
91837.0,16.341
11102.0,1.13
40244.0,6.107
293788.0,46.87
89117.0,14.753
40277.0,6.823
327888.0,51.651
87554.0,15.878
39363.0,7.123
328064.0,32.644
91312.0,15.944
39787.0,6.347
328064.0,32.513
79851.0,7.992
39578.0,6.551
1301.0,26.761
79851.0,8.02
39578.0,6.269
173351.0,27.143
91904.0,15.411
11102.0,1.15
261980.0,49.427
170249.0,28.306
91976.0,9.266
11102.0,1.127
39575.0,6.563
134848.0,25.69
91286.0,15.066
1301.0,27.198
38691.0,6.94
328064.0,32.485
91231.0,15.119
79851.0,7.968
40325.0,5.871
327888.0,50.637
13079.0,10.735
78564.0,12.586
38651.0,6.89
328064.0,32.81
37528.0,14.991
79851.0,8.021
40325.0,4.006
325944.0,50.63
42797.0,12.246
74827.0,12.296
38979.0,6.064
172741.0,28.204
270380.0,46.947
326162.0,53.394
39806.0,7.566
174305.0,17.459
303187.0,30.533
1731.0,27.148
29853.0,7.342
24976.0,18.214
328064.0,32.754
79851.0,7.95
40173.0,6.033
134887.0,23.33
1740.0,27.076
79851.0,8.028
37585.0,7.063
134887.0,23.601
1734.0,26.926
79851.0,8.005
39086.0,6.512
174305.0,17.425
11102.0,1.129
275493.0,47.493
328064.0,32.777
132704.0,27.576
42747.0,34.598
79006.0,11.916
40325.0,4.121
134790.0,26.163
66005.0,33.436
79851.0,8.06
38069.0,7.668
10186.0,1.69
87833.0,17.738
39139.0,6.975
79851.0,7.891
10739.0,1.658
1654.0,10.794
36456.0,7.499
79571.0,11.927
303187.0,30.462
42291.0,14.066
328064.0,33.005
40325.0,4.026
42921.0,26.953
91968.0,15.503
40047.0,7.001
79851.0,8.0
294376.0,48.507
12391.0,12.733
39266.0,7.571
79851.0,8.016
91976.0,30.734
328064.0,32.786
924.0,4.861
79095.0,12.545
173418.0,26.743
11092.0,10.938
9803.0,1.786
296815.0,46.716
327569.0,50.944
174305.0,17.544
10076.0,11.452
42921.0,27.467
1301.0,27.037
40325.0,6.43
174083.0,27.242
467.0,23.887
79851.0,7.939
328064.0,32.635
31529.0,5.673
25003.0,16.126
90780.0,16.538
1301.0,27.225
78106.0,11.83
39392.0,7.156
25003.0,16.156
4170.0,11.242
328064.0,32.761
79851.0,7.847
36148.0,6.856
173183.0,28.056
42735.0,12.059
91976.0,31.287
77332.0,11.663
39819.0,6.587
174305.0,17.573
5209.0,11.044
303187.0,30.377
78392.0,12.265
37972.0,7.188
173240.0,26.764
11102.0,1.136
42921.0,11.798
40325.0,5.89
79851.0,7.958
174305.0,17.354
9704.0,1.759
1961.0,9.27
38333.0,5.995
79851.0,7.949
1032.0,0.123
91976.0,16.402
39578.0,6.325
303187.0,30.464
77851.0,11.695
1032.0,0.118
91976.0,9.256
40325.0,6.264
328064.0,32.83
79851.0,7.912
1032.0,0.117
91976.0,9.189
39871.0,7.218
1725.0,26.882
79736.0,11.908
91489.0,16.096
11102.0,1.141
66973.0,34.023
327982.0,50.641
79400.0,11.894
36624.0,7.429
13246.0,10.219
10186.0,1.72
91976.0,31.185
327650.0,50.707
79851.0,7.997
37483.0,7.503
174305.0,17.51
91976.0,9.297
11102.0,1.132
328064.0,32.774
79851.0,7.942
38978.0,6.982
172753.0,27.996
12355.0,11.218
9802.0,1.793
261736.0,49.573
79851.0,7.883
37520.0,6.598
8362.0,14.95
11546.0,10.671
11102.0,1.14
328064.0,32.893
79851.0,7.986
40325.0,6.23
134887.0,23.347
42188.0,12.256
9811.0,1.822
1650.0,27.184
79851.0,8.05
36029.0,6.894
173883.0,26.982
2038.0,9.296
10894.0,1.823
287306.0,48.248
326124.0,50.391
40325.0,6.861
134487.0,27.774
10286.0,9.826
11102.0,1.143
69427.0,29.622
328064.0,33.116
38753.0,7.193
173652.0,28.345
90182.0,16.816
11102.0,1.146
88076.0,35.498
1301.0,27.19
38951.0,6.382
133715.0,27.594
2637.0,9.145
10006.0,1.609
42921.0,27.456
328064.0,32.999
39081.0,7.29
174305.0,17.643
91976.0,9.314
11102.0,1.12
303187.0,30.436
327152.0,53.312
79851.0,8.078
134887.0,23.642
41984.0,11.887
10186.0,1.693
303187.0,30.579
327234.0,51.394
79851.0,8.002
173719.0,28.275
11552.0,11.763
11102.0,1.134
303187.0,30.719
260436.0,49.794
78900.0,11.735
174305.0,17.521
91976.0,16.579
11102.0,1.147
91976.0,31.207
33691.0,29.287
79851.0,8.021
134887.0,23.614
91908.0,15.45
11102.0,1.135
1043.0,23.992
328064.0,33.043
77656.0,11.782
174005.0,26.849
41796.0,13.054
11102.0,1.143
283760.0,48.076
2166.0,26.67
79851.0,8.039
174305.0,17.553
41177.0,13.333
303187.0,30.536
328064.0,32.608
79851.0,7.844
40325.0,6.372
134204.0,25.801
40093.0,13.78
303187.0,30.423
328064.0,32.877
79851.0,7.966
39111.0,6.629
174305.0,17.446
41710.0,12.777
91976.0,31.15
262116.0,45.193
79851.0,8.027
37698.0,7.254
174305.0,17.543
12978.0,10.954
303187.0,30.35
33691.0,29.454
78870.0,11.9
39438.0,7.481
174305.0,17.584
13104.0,11.346
303187.0,30.586
1301.0,27.133
79851.0,8.066
40325.0,4.045
134887.0,23.645
11912.0,10.844
303187.0,30.505
327982.0,50.509
79663.0,12.016
39061.0,5.836
173677.0,26.953
41703.0,13.622
39730.0,6.841
134887.0,23.215
12671.0,10.665
40325.0,5.879
172293.0,27.933
303187.0,30.527
39444.0,7.175
174305.0,17.469
303187.0,30.029
39903.0,7.581
173428.0,28.15
327152.0,53.369
39728.0,6.04
174305.0,17.506
327569.0,50.676
36356.0,6.167
134887.0,23.443
328064.0,32.598
39808.0,6.334
91976.0,9.316
172545.0,27.981
79851.0,8.004
40000.0,6.962
134659.0,25.871
79610.0,12.521
40325.0,6.201
303187.0,30.571
91582.0,16.881
39563.0,6.854
275240.0,44.768
12190.0,9.952
37426.0,7.173
298908.0,47.117
90956.0,15.501
40051.0,7.06
303187.0,30.378
88880.0,14.493
38341.0,6.386
328064.0,32.927
46927.0,11.816
40325.0,6.05
328064.0,32.597
91976.0,16.521
38765.0,5.923
174305.0,17.864
303187.0,30.45
327888.0,50.669
91976.0,9.323
133397.0,26.052
300288.0,46.746
262116.0,45.001
91976.0,9.361
173735.0,26.868
12147.0,12.852
328064.0,32.753
39981.0,6.547
174305.0,17.497
42871.0,12.056
327650.0,50.627
38951.0,7.11
134887.0,23.455
42921.0,11.789
328064.0,32.778
39321.0,6.489
174305.0,17.431
41589.0,12.645
328064.0,32.41
39426.0,6.698
134258.0,25.753
87175.0,17.185
327888.0,50.898
40325.0,6.251
328064.0,32.227
42661.0,12.247
79593.0,12.007
40325.0,4.02
328064.0,32.435
42786.0,13.33
79851.0,7.932
39882.0,6.919
174305.0,17.59
298789.0,49.322
328064.0,32.843
39462.0,6.987
134490.0,27.833
303187.0,30.412
328064.0,32.507
40186.0,7.149
171115.0,26.666
91976.0,30.931
328064.0,32.855
36820.0,8.251
24733.0,18.119
33690.0,36.06
77535.0,11.811
40325.0,5.934
24976.0,18.27
328064.0,32.81
79851.0,7.878
40173.0,6.032
134887.0,23.26
9794.0,1.709
303187.0,30.471
326887.0,53.131
91976.0,9.296
134887.0,23.461
10423.0,1.748
303187.0,30.31
328064.0,32.62
91976.0,9.195
174305.0,17.345
10032.0,1.806
272988.0,44.87
327650.0,50.725
91976.0,9.344
174305.0,17.557
9549.0,1.762
303187.0,30.393
327152.0,53.082
91976.0,9.288
173540.0,26.801
303187.0,30.322
79851.0,7.963
39348.0,6.587
174305.0,17.39
87423.0,34.79
78855.0,11.951
36998.0,7.851
171069.0,26.658
303187.0,30.211
77918.0,11.693
39993.0,7.343
8362.0,15.115
295642.0,49.415
79851.0,8.006
40068.0,6.795
302416.0,46.551
42921.0,12.351
262116.0,44.92
39247.0,6.917
286515.0,46.322
42238.0,12.382
324656.0,53.457
37542.0,6.6
69427.0,29.481
40611.0,11.415
39923.0,6.243
79511.0,11.844
303005.0,46.488
90956.0,14.811
39783.0,6.37
79851.0,7.994
84319.0,37.486
12416.0,11.031
38877.0,6.739
79007.0,12.533
300197.0,49.249
47755.0,11.84
40325.0,4.062
79851.0,7.997
303187.0,30.24
13179.0,10.112
40287.0,6.181
79851.0,7.976
303187.0,30.198
327234.0,51.036
39835.0,7.605
79654.0,11.84
42921.0,27.197
327888.0,51.006
35771.0,6.965
78917.0,11.89
303187.0,30.512
328064.0,32.669
40325.0,6.031
79851.0,7.915
134887.0,23.645
13091.0,10.338
9187.0,1.781
303187.0,30.698
262116.0,45.135
173418.0,26.712
11092.0,10.842
9803.0,1.795
296815.0,46.577
327569.0,51.218
173566.0,27.19
42009.0,13.122
11102.0,1.152
303187.0,30.57
262116.0,46.608
173857.0,29.363
91618.0,16.855
10186.0,1.742
300455.0,48.27
39369.0,7.738
8362.0,15.382
41710.0,13.176
299045.0,48.476
1744.0,28.34
37636.0,7.255
174305.0,18.068
42533.0,12.606
87524.0,39.529
1651.0,28.231
37714.0,6.561
174305.0,18.129
303187.0,31.544
77704.0,12.109
1740.0,28.218
37062.0,7.697
134887.0,24.396
12269.0,11.999
293922.0,46.745
79851.0,8.043
20197.0,5.725
134887.0,23.583
879.0,10.405
303187.0,30.513
79851.0,7.819
40325.0,4.05
169311.0,27.659
13007.0,11.126
303187.0,30.326
79851.0,7.934
39532.0,6.961
174263.0,26.926
8776.0,1.815
11995.0,13.254
40325.0,4.042
79851.0,7.863
1032.0,0.119
91489.0,15.932
40325.0,5.833
328064.0,32.814
79206.0,11.917
174305.0,17.405
89806.0,14.712
9994.0,2.052
328064.0,51.159
77692.0,12.403
40325.0,6.306
134887.0,23.705
12741.0,10.925
9721.0,1.874
303187.0,30.498
324079.0,53.257
78544.0,12.465
40325.0,4.081
174305.0,17.599
90613.0,17.825
10186.0,1.671
303187.0,30.64
328064.0,32.862
79851.0,7.947
40325.0,4.065
134602.0,26.415
42747.0,12.952
10805.0,1.776
302524.0,47.116
327186.0,53.499
79851.0,7.879
40325.0,4.064
172996.0,28.285
12613.0,10.117
10186.0,1.718
303187.0,30.851
261476.0,49.526
75910.0,11.726
40325.0,4.079
174305.0,17.655
42921.0,12.3
303187.0,30.656
328064.0,32.882
79683.0,11.935
39856.0,7.064
174305.0,17.583
42703.0,12.97
10607.0,1.742
69427.0,29.451
327186.0,50.716
40221.0,6.607
173805.0,26.892
91000.0,17.876
10593.0,1.675
291664.0,45.884
328064.0,32.734
40325.0,6.748
